SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
360ONE,EQ,799.95,800,782.8,786.9,785.9,787.6,37810,29977808.85,18-MAY-2024,1863,INE466L01038,
364D020125,TB,95.66,95.66,95.66,95.66,95.66,95.66,100,9566,18-MAY-2024,1,IN002023Z422,
364D020525,TB,93.69,93.69,93.69,93.69,93.69,93.69,100,9369,18-MAY-2024,1,IN002024Z057,
364D051224,TB,96.17,96.17,96.17,96.17,96.17,96.17,1000,96170,18-MAY-2024,1,IN002023Z380,
364D060325,TB,94.5,94.5,94.5,94.5,94.5,94.25,200,18900,18-MAY-2024,1,IN002023Z521,
364D171024,TB,96.51,96.51,96.51,96.51,96.51,95.95,5000,482550,18-MAY-2024,2,IN002023Z315,
3IINFOLTD,EQ,39.4,39.75,39,39.35,39.25,39.4,142063,5607287.75,18-MAY-2024,641,INE748C01038,
3MINDIA,EQ,30200.05,31389,30200.05,31096.65,31389,30312.85,2096,65010544.8,18-MAY-2024,981,INE470A01017,
3PLAND,EQ,29.45,31.2,29.05,30,30.7,30,638,19212.2,18-MAY-2024,24,INE105C01023,
5PAISA,EQ,538,545,528.3,544.3,544.8,524.25,38361,20775666.1,18-MAY-2024,1983,INE618L01018,
610GS2031,GS,97,97,97,97,97,97,164,15908,18-MAY-2024,3,IN0020210095,
613GS2028,GS,97.66,97.66,97.66,97.66,97.66,97.68,1,97.66,18-MAY-2024,1,IN0020030022,
63MOONS,EQ,405,414,396,405.65,405.5,409.15,36561,14851005.3,18-MAY-2024,949,INE111B01023,
654GS2032,GS,96.01,96.01,96.01,96.01,96.01,98.85,1,96.01,18-MAY-2024,1,IN0020210244,
669GS2024,GS,101.35,102.05,101.35,102.05,102.05,102.75,302,30818.35,18-MAY-2024,3,IN0020220052,
68GS2060,GS,98,98,98,98,98,98,5000,490000,18-MAY-2024,2,IN0020200187,
706GS2028,GS,100.7,101,100.7,101,101,100.95,8400,848130,18-MAY-2024,3,IN0020230010,
710GS2029,GS,100.6,100.63,100.6,100.63,100.63,100.69,1000,100613.5,18-MAY-2024,4,IN0020220011,
717GS2030,GS,100.8,100.8,100.78,100.78,100.78,100.8,4300,433374.04,18-MAY-2024,5,IN0020230036,
718GS2037,GS,102.85,102.85,102.85,102.85,102.85,102.85,100,10285,18-MAY-2024,5,IN0020230077,
725GS2063,GS,103.2,103.5,103.2,103.5,103.5,104,200,20670,18-MAY-2024,3,IN0020230044,
726GS2032,GS,102,102,102,102,102,102.5,999,101898,18-MAY-2024,1,IN0020220060,
729IRFC26,NN,1045.1,1045.1,1045.1,1045.1,1045.1,1069.9,9,9405.9,18-MAY-2024,1,INE053F07892,
732GS2030,GS,101.5,101.5,101.5,101.5,101.5,101.3,100,10150,18-MAY-2024,1,IN0020230135,
736GS2052,GS,103.5,103.5,103.5,103.5,103.5,102.62,501,51853.5,18-MAY-2024,1,IN0020220086,
737GS2028,GS,102,102,101.81,101.81,101.81,101.79,110,11201,18-MAY-2024,2,IN0020230101,
738GS2027,GS,103.96,104,103.91,103.94,103.93,104,37003,3846317.79,18-MAY-2024,25,IN0020220037,
738REC27TF,N2,1061.1,1092.6,1061.1,1075.98,1092.6,1098.55,1896,2040069.6,18-MAY-2024,3,INE020B07GX4,
